National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2026 in PROJECTIONS format,,,,,,,,,,,
The projections are based on the 2016 version of the NHE released in December 2017.,,,,,,,,,,,
,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,
First projected year is 2017,,,,,,,,,,,
,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY
Public Health Activity,02/14/2018,Historical,Y2009,74167,0,0,0,0,0,0,74167
Public Health Activity,02/14/2018,Historical,Y2010,75612,0,0,0,0,0,0,75612
Public Health Activity,02/14/2018,Historical,Y2011,74294,0,0,0,0,0,0,74294
Public Health Activity,02/14/2018,Historical,Y2012,77443,0,0,0,0,0,0,77443
Public Health Activity,02/14/2018,Historical,Y2013,78301,0,0,0,0,0,0,78301
Public Health Activity,02/14/2018,Historical,Y2014,79439,0,0,0,0,0,0,79439
Public Health Activity,02/14/2018,Historical,Y2015,81709,0,0,0,0,0,0,81709
Public Health Activity,02/14/2018,Historical,Y2016,82187,0,0,0,0,0,0,82187
Public Health Activity,02/14/2018,Projected,Y2017," 84,519 ",0,0,0,0,0,0,84519
Public Health Activity,02/14/2018,Projected,Y2018,87145,0,0,0,0,0,0,87145
Public Health Activity,02/14/2018,Projected,Y2019,89583,0,0,0,0,0,0,89583
Public Health Activity,02/14/2018,Projected,Y2020,92054,0,0,0,0,0,0,92054
Public Health Activity,02/14/2018,Projected,Y2021,94658,0,0,0,0,0,0,94658
Public Health Activity,02/14/2018,Projected,Y2022,97541,0,0,0,0,0,0,97541
Public Health Activity,02/14/2018,Projected,Y2023,100514,0,0,0,0,0,0,100514
Public Health Activity,02/14/2018,Projected,Y2024,103539,0,0,0,0,0,0,103539
Public Health Activity,02/14/2018,Projected,Y2025,106829,0,0,0,0,0,0,106829
Public Health Activity,02/14/2018,Projected,Y2026,110949,0,0,0,0,0,0,110949
Research,02/14/2018,Historical,Y1960,694,0,0,0,0,0,0,694
Research,02/14/2018,Historical,Y1961,886,0,0,0,0,0,0,886
Research,02/14/2018,Historical,Y1962,1068,0,0,0,0,0,0,1068
Research,02/14/2018,Historical,Y1963,1219,0,0,0,0,0,0,1219
Research,02/14/2018,Historical,Y1964,1366,0,0,0,0,0,0,1366
Research,02/14/2018,Historical,Y1965,1521,0,0,0,0,0,0,1521
Research,02/14/2018,Historical,Y1966,1624,0,0,0,0,0,0,1624
Research,02/14/2018,Historical,Y1967,1775,0,0,0,0,0,0,1775
Research,02/14/2018,Historical,Y1968,1877,0,0,0,0,0,0,1877
Research,02/14/2018,Historical,Y1969,1924,0,0,0,0,0,0,1924
Research,02/14/2018,Historical,Y1970,1953,0,0,0,0,0,0,1953
Research,02/14/2018,Historical,Y1971,2109,0,0,0,0,0,0,2109
Research,02/14/2018,Historical,Y1972,2357,0,0,0,0,0,0,2357
Research,02/14/2018,Historical,Y1973,2502,0,0,0,0,0,0,2502
Research,02/14/2018,Historical,Y1974,2767,0,0,0,0,0,0,2767
Research,02/14/2018,Historical,Y1975,3372,0,0,0,0,0,0,3372
Research,02/14/2018,Historical,Y1976,3707,0,0,0,0,0,0,3707
Research,02/14/2018,Historical,Y1977,3864,0,0,0,0,0,0,3864
Research,02/14/2018,Historical,Y1978,4438,0,0,0,0,0,0,4438
Research,02/14/2018,Historical,Y1979,4805,0,0,0,0,0,0,4805
Research,02/14/2018,Historical,Y1980,5429,0,0,0,0,0,0,5429
Research,02/14/2018,Historical,Y1981,5705,0,0,0,0,0,0,5705
Research,02/14/2018,Historical,Y1982,6025,0,0,0,0,0,0,6025
Research,02/14/2018,Historical,Y1983,6543,0,0,0,0,0,0,6543
Research,02/14/2018,Historical,Y1984,7608,0,0,0,0,0,0,7608
Research,02/14/2018,Historical,Y1985,8320,0,0,0,0,0,0,8320
Research,02/14/2018,Historical,Y1986,9002,0,0,0,0,0,0,9002
Research,02/14/2018,Historical,Y1987,10025,0,0,0,0,0,0,10025
Research,02/14/2018,Historical,Y1988,10836,0,0,0,0,0,0,10836
Research,02/14/2018,Historical,Y1989,11738,0,0,0,0,0,0,11738
Research,02/14/2018,Historical,Y1990,12678,0,0,0,0,0,0,12678
Research,02/14/2018,Historical,Y1991,13819,0,0,0,0,0,0,13819
Research,02/14/2018,Historical,Y1992,15091,0,0,0,0,0,0,15091
Research,02/14/2018,Historical,Y1993,16472,0,0,0,0,0,0,16472
Research,02/14/2018,Historical,Y1994,17758,0,0,0,0,0,0,17758
Research,02/14/2018,Historical,Y1995,18670,0,0,0,0,0,0,18670
Research,02/14/2018,Historical,Y1996,17808,0,0,0,0,0,0,17808
Research,02/14/2018,Historical,Y1997,19640,0,0,0,0,0,0,19640
Research,02/14/2018,Historical,Y1998,21512,0,0,0,0,0,0,21512
Research,02/14/2018,Historical,Y1999,23365,0,0,0,0,0,0,23365
Research,02/14/2018,Historical,Y2000,25475,0,0,0,0,0,0,25475
Research,02/14/2018,Historical,Y2001,28504,0,0,0,0,0,0,28504
Research,02/14/2018,Historical,Y2002,32016,0,0,0,0,0,0,32016
Research,02/14/2018,Historical,Y2003,34844,0,0,0,0,0,0,34844
Research,02/14/2018,Historical,Y2004,38578,0,0,0,0,0,0,38578
Research,02/14/2018,Historical,Y2005,40319,0,0,0,0,0,0,40319
Research,02/14/2018,Historical,Y2006,41163,0,0,0,0,0,0,41163
Research,02/14/2018,Historical,Y2007,42576,0,0,0,0,0,0,42576
Research,02/14/2018,Historical,Y2008,44278,0,0,0,0,0,0,44278
Research,02/14/2018,Historical,Y2009,45372,0,0,0,0,0,0,45372
Research,02/14/2018,Historical,Y2010,49212,0,0,0,0,0,0,49212
Research,02/14/2018,Historical,Y2011,49658,0,0,0,0,0,0,49658
Research,02/14/2018,Historical,Y2012,48448,0,0,0,0,0,0,48448
Research,02/14/2018,Historical,Y2013,46639,0,0,0,0,0,0,46639
Research,02/14/2018,Historical,Y2014,45888,0,0,0,0,0,0,45888
Research,02/14/2018,Historical,Y2015,46451,0,0,0,0,0,0,46451
Research,02/14/2018,Historical,Y2016,47670,0,0,0,0,0,0,47670
Research,02/14/2018,Projected,Y2017," 50,573 ",0,0,0,0,0,0,50573
Research,02/14/2018,Projected,Y2018,52859,0,0,0,0,0,0,52859
Research,02/14/2018,Projected,Y2019,55354,0,0,0,0,0,0,55354
Research,02/14/2018,Projected,Y2020,58089,0,0,0,0,0,0,58089
Research,02/14/2018,Projected,Y2021,60990,0,0,0,0,0,0,60990
Research,02/14/2018,Projected,Y2022,64012,0,0,0,0,0,0,64012
Research,02/14/2018,Projected,Y2023,67165,0,0,0,0,0,0,67165
Research,02/14/2018,Projected,Y2024,70397,0,0,0,0,0,0,70397
Research,02/14/2018,Projected,Y2025,74161,0,0,0,0,0,0,74161
Research,02/14/2018,Projected,Y2026,78430,0,0,0,0,0,0,78430
Structures Expenditures,02/14/2018,Historical,Y1960,1479,0,0,0,0,0,0,1479
Structures Expenditures,02/14/2018,Historical,Y1961,1544,0,0,0,0,0,0,1544
Structures Expenditures,02/14/2018,Historical,Y1962,1918,0,0,0,0,0,0,1918
Structures Expenditures,02/14/2018,Historical,Y1963,1923,0,0,0,0,0,0,1923
Structures Expenditures,02/14/2018,Historical,Y1964,2340,0,0,0,0,0,0,2340
Structures Expenditures,02/14/2018,Historical,Y1965,2552,0,0,0,0,0,0,2552
Structures Expenditures,02/14/2018,Historical,Y1966,2559,0,0,0,0,0,0,2559
Structures Expenditures,02/14/2018,Historical,Y1967,2521,0,0,0,0,0,0,2521
Structures Expenditures,02/14/2018,Historical,Y1968,2986,0,0,0,0,0,0,2986
Structures Expenditures,02/14/2018,Historical,Y1969,3945,0,0,0,0,0,0,3945
Structures Expenditures,02/14/2018,Historical,Y1970,4524,0,0,0,0,0,0,4524
Structures Expenditures,02/14/2018,Historical,Y1971,5192,0,0,0,0,0,0,5192
Structures Expenditures,02/14/2018,Historical,Y1972,5686,0,0,0,0,0,0,5686
Structures Expenditures,02/14/2018,Historical,Y1973,5649,0,0,0,0,0,0,5649
Structures Expenditures,02/14/2018,Historical,Y1974,5978,0,0,0,0,0,0,5978
Structures Expenditures,02/14/2018,Historical,Y1975,6515,0,0,0,0,0,0,6515
Structures Expenditures,02/14/2018,Historical,Y1976,7071,0,0,0,0,0,0,7071
Structures Expenditures,02/14/2018,Historical,Y1977,6867,0,0,0,0,0,0,6867
Structures Expenditures,02/14/2018,Historical,Y1978,6970,0,0,0,0,0,0,6970
Structures Expenditures,02/14/2018,Historical,Y1979,7432,0,0,0,0,0,0,7432
Structures Expenditures,02/14/2018,Historical,Y1980,8585,0,0,0,0,0,0,8585
Structures Expenditures,02/14/2018,Historical,Y1981,9996,0,0,0,0,0,0,9996
Structures Expenditures,02/14/2018,Historical,Y1982,11567,0,0,0,0,0,0,11567
Structures Expenditures,02/14/2018,Historical,Y1983,12483,0,0,0,0,0,0,12483
Structures Expenditures,02/14/2018,Historical,Y1984,12199,0,0,0,0,0,0,12199
Structures Expenditures,02/14/2018,Historical,Y1985,11226,0,0,0,0,0,0,11226
Structures Expenditures,02/14/2018,Historical,Y1986,11106,0,0,0,0,0,0,11106
Structures Expenditures,02/14/2018,Historical,Y1987,12508,0,0,0,0,0,0,12508
Structures Expenditures,02/14/2018,Historical,Y1988,14438,0,0,0,0,0,0,14438
Structures Expenditures,02/14/2018,Historical,Y1989,14978,0,0,0,0,0,0,14978
Structures Expenditures,02/14/2018,Historical,Y1990,17047,0,0,0,0,0,0,17047
Structures Expenditures,02/14/2018,Historical,Y1991,16802,0,0,0,0,0,0,16802
Structures Expenditures,02/14/2018,Historical,Y1992,18342,0,0,0,0,0,0,18342
Structures Expenditures,02/14/2018,Historical,Y1993,19929,0,0,0,0,0,0,19929
Structures Expenditures,02/14/2018,Historical,Y1994,20837,0,0,0,0,0,0,20837
Structures Expenditures,02/14/2018,Historical,Y1995,20922,0,0,0,0,0,0,20922
Structures Expenditures,02/14/2018,Historical,Y1996,21635,0,0,0,0,0,0,21635
Structures Expenditures,02/14/2018,Historical,Y1997,23153,0,0,0,0,0,0,23153
Structures Expenditures,02/14/2018,Historical,Y1998,23746,0,0,0,0,0,0,23746
Structures Expenditures,02/14/2018,Historical,Y1999,25405,0,0,0,0,0,0,25405
Structures Expenditures,02/14/2018,Historical,Y2000,25374,0,0,0,0,0,0,25374
Structures Expenditures,02/14/2018,Historical,Y2001,26118,0,0,0,0,0,0,26118
Structures Expenditures,02/14/2018,Historical,Y2002,29258,0,0,0,0,0,0,29258
Structures Expenditures,02/14/2018,Historical,Y2003,30947,0,0,0,0,0,0,30947
Structures Expenditures,02/14/2018,Historical,Y2004,33063,0,0,0,0,0,0,33063
Structures Expenditures,02/14/2018,Historical,Y2005,36136,0,0,0,0,0,0,36136
Structures Expenditures,02/14/2018,Historical,Y2006,40735,0,0,0,0,0,0,40735
Structures Expenditures,02/14/2018,Historical,Y2007,46542,0,0,0,0,0,0,46542
Structures Expenditures,02/14/2018,Historical,Y2008,51675,0,0,0,0,0,0,51675
Structures Expenditures,02/14/2018,Historical,Y2009,46879,0,0,0,0,0,0,46879
Structures Expenditures,02/14/2018,Historical,Y2010,46104,0,0,0,0,0,0,46104
Structures Expenditures,02/14/2018,Historical,Y2011,47349,0,0,0,0,0,0,47349
Structures Expenditures,02/14/2018,Historical,Y2012,49533,0,0,0,0,0,0,49533
Structures Expenditures,02/14/2018,Historical,Y2013,50072,0,0,0,0,0,0,50072
Structures Expenditures,02/14/2018,Historical,Y2014,50334,0,0,0,0,0,0,50334
Structures Expenditures,02/14/2018,Historical,Y2015,49969,0,0,0,0,0,0,49969
Structures Expenditures,02/14/2018,Historical,Y2016,50475,0,0,0,0,0,0,50475
Structures Expenditures,02/14/2018,Projected,Y2017," 51,700 ",0,0,0,0,0,0,51700
Structures Expenditures,02/14/2018,Projected,Y2018,53881,0,0,0,0,0,0,53881
Structures Expenditures,02/14/2018,Projected,Y2019,56726,0,0,0,0,0,0,56726
Structures Expenditures,02/14/2018,Projected,Y2020,59831,0,0,0,0,0,0,59831
Structures Expenditures,02/14/2018,Projected,Y2021,63164,0,0,0,0,0,0,63164
Structures Expenditures,02/14/2018,Projected,Y2022,66624,0,0,0,0,0,0,66624
Structures Expenditures,02/14/2018,Projected,Y2023,70241,0,0,0,0,0,0,70241
Structures Expenditures,02/14/2018,Projected,Y2024,74020,0,0,0,0,0,0,74020
Structures Expenditures,02/14/2018,Projected,Y2025,78043,0,0,0,0,0,0,78043
Structures Expenditures,02/14/2018,Projected,Y2026,82324,0,0,0,0,0,0,82324
Equipment Expenditures,02/14/2018,Historical,Y1960,334,0,0,0,0,0,0,334
Equipment Expenditures,02/14/2018,Historical,Y1961,377,0,0,0,0,0,0,377
Equipment Expenditures,02/14/2018,Historical,Y1962,442,0,0,0,0,0,0,442
Equipment Expenditures,02/14/2018,Historical,Y1963,535,0,0,0,0,0,0,535
Equipment Expenditures,02/14/2018,Historical,Y1964,558,0,0,0,0,0,0,558
Equipment Expenditures,02/14/2018,Historical,Y1965,592,0,0,0,0,0,0,592
Equipment Expenditures,02/14/2018,Historical,Y1966,671,0,0,0,0,0,0,671
Equipment Expenditures,02/14/2018,Historical,Y1967,767,0,0,0,0,0,0,767
Equipment Expenditures,02/14/2018,Historical,Y1968,850,0,0,0,0,0,0,850
Equipment Expenditures,02/14/2018,Historical,Y1969,957,0,0,0,0,0,0,957
Equipment Expenditures,02/14/2018,Historical,Y1970,1039,0,0,0,0,0,0,1039
Equipment Expenditures,02/14/2018,Historical,Y1971,1087,0,0,0,0,0,0,1087
Equipment Expenditures,02/14/2018,Historical,Y1972,1264,0,0,0,0,0,0,1264
Equipment Expenditures,02/14/2018,Historical,Y1973,1566,0,0,0,0,0,0,1566
Equipment Expenditures,02/14/2018,Historical,Y1974,1917,0,0,0,0,0,0,1917
Equipment Expenditures,02/14/2018,Historical,Y1975,2290,0,0,0,0,0,0,2290
Equipment Expenditures,02/14/2018,Historical,Y1976,2671,0,0,0,0,0,0,2671
Equipment Expenditures,02/14/2018,Historical,Y1977,3173,0,0,0,0,0,0,3173
Equipment Expenditures,02/14/2018,Historical,Y1978,3877,0,0,0,0,0,0,3877
Equipment Expenditures,02/14/2018,Historical,Y1979,4724,0,0,0,0,0,0,4724
Equipment Expenditures,02/14/2018,Historical,Y1980,5843,0,0,0,0,0,0,5843
Equipment Expenditures,02/14/2018,Historical,Y1981,7037,0,0,0,0,0,0,7037
Equipment Expenditures,02/14/2018,Historical,Y1982,8415,0,0,0,0,0,0,8415
Equipment Expenditures,02/14/2018,Historical,Y1983,9329,0,0,0,0,0,0,9329
Equipment Expenditures,02/14/2018,Historical,Y1984,10070,0,0,0,0,0,0,10070
Equipment Expenditures,02/14/2018,Historical,Y1985,10518,0,0,0,0,0,0,10518
Equipment Expenditures,02/14/2018,Historical,Y1986,10866,0,0,0,0,0,0,10866
Equipment Expenditures,02/14/2018,Historical,Y1987,11701,0,0,0,0,0,0,11701
Equipment Expenditures,02/14/2018,Historical,Y1988,13491,0,0,0,0,0,0,13491
Equipment Expenditures,02/14/2018,Historical,Y1989,15800,0,0,0,0,0,0,15800
Equipment Expenditures,02/14/2018,Historical,Y1990,17598,0,0,0,0,0,0,17598
Equipment Expenditures,02/14/2018,Historical,Y1991,19762,0,0,0,0,0,0,19762
Equipment Expenditures,02/14/2018,Historical,Y1992,21889,0,0,0,0,0,0,21889
Equipment Expenditures,02/14/2018,Historical,Y1993,22455,0,0,0,0,0,0,22455
Equipment Expenditures,02/14/2018,Historical,Y1994,22956,0,0,0,0,0,0,22956
Equipment Expenditures,02/14/2018,Historical,Y1995,23873,0,0,0,0,0,0,23873
Equipment Expenditures,02/14/2018,Historical,Y1996,25377,0,0,0,0,0,0,25377
Equipment Expenditures,02/14/2018,Historical,Y1997,27640,0,0,0,0,0,0,27640
Equipment Expenditures,02/14/2018,Historical,Y1998,29876,0,0,0,0,0,0,29876
Equipment Expenditures,02/14/2018,Historical,Y1999,31994,0,0,0,0,0,0,31994
Equipment Expenditures,02/14/2018,Historical,Y2000,32466,0,0,0,0,0,0,32466
Equipment Expenditures,02/14/2018,Historical,Y2001,32754,0,0,0,0,0,0,32754
Equipment Expenditures,02/14/2018,Historical,Y2002,35495,0,0,0,0,0,0,35495
Equipment Expenditures,02/14/2018,Historical,Y2003,37928,0,0,0,0,0,0,37928
Equipment Expenditures,02/14/2018,Historical,Y2004,39735,0,0,0,0,0,0,39735
Equipment Expenditures,02/14/2018,Historical,Y2005,43270,0,0,0,0,0,0,43270
Equipment Expenditures,02/14/2018,Historical,Y2006,43259,0,0,0,0,0,0,43259
Equipment Expenditures,02/14/2018,Historical,Y2007,49276,0,0,0,0,0,0,49276
Equipment Expenditures,02/14/2018,Historical,Y2008,52053,0,0,0,0,0,0,52053
Equipment Expenditures,02/14/2018,Historical,Y2009,46713,0,0,0,0,0,0,46713
Equipment Expenditures,02/14/2018,Historical,Y2010,47423,0,0,0,0,0,0,47423
Equipment Expenditures,02/14/2018,Historical,Y2011,52464,0,0,0,0,0,0,52464
Equipment Expenditures,02/14/2018,Historical,Y2012,55249,0,0,0,0,0,0,55249
Equipment Expenditures,02/14/2018,Historical,Y2013,56433,0,0,0,0,0,0,56433
Equipment Expenditures,02/14/2018,Historical,Y2014,53489,0,0,0,0,0,0,53489
Equipment Expenditures,02/14/2018,Historical,Y2015,57278,0,0,0,0,0,0,57278
Equipment Expenditures,02/14/2018,Historical,Y2016,59273,0,0,0,0,0,0,59273
Equipment Expenditures,02/14/2018,Projected,Y2017," 61,582 ",0,0,0,0,0,0,61582
Equipment Expenditures,02/14/2018,Projected,Y2018,64347,0,0,0,0,0,0,64347
Equipment Expenditures,02/14/2018,Projected,Y2019,67687,0,0,0,0,0,0,67687
Equipment Expenditures,02/14/2018,Projected,Y2020,71324,0,0,0,0,0,0,71324
Equipment Expenditures,02/14/2018,Projected,Y2021,75250,0,0,0,0,0,0,75250
Equipment Expenditures,02/14/2018,Projected,Y2022,79449,0,0,0,0,0,0,79449
Equipment Expenditures,02/14/2018,Projected,Y2023,83842,0,0,0,0,0,0,83842
Equipment Expenditures,02/14/2018,Projected,Y2024,88434,0,0,0,0,0,0,88434
Equipment Expenditures,02/14/2018,Projected,Y2025,93289,0,0,0,0,0,0,93289
Equipment Expenditures,02/14/2018,Projected,Y2026,98406,0,0,0,0,0,0,98406
